STT,Stock_code,Year,CR,QR,ITR,DSO,FATR,ATR,DAR,EAR,DER,ROS,ROA,ROE,CFR,WCTA,ARtoCA,STR,SDA,LDA,PRE,IRR,IT,CPtoAR,FAR,STDR,TDR,LogTA,Risk
15,AAM,2018,12.15691568,7.880793849,3.373506915,51.63369301,6.663610048,0.956330723,0.07949234,0.92050766,0.183982811,0.043612978,0.041708431,0.045310249,0.728028919,0.739640331,0.167860532,2.213400866,0.066294337,0.013198003,0.107009254,0.334065838,2.993421918,6.272577065,0.143515409,0.83397139,0.07949234,26.16116703,0
16,AAM,2019,12.36620485,4.918270836,2.016493984,30.94631903,7.393580412,0.99136267,0.070733977,0.929266023,0.130341869,0.03683929,0.036521097,0.039301014,0.91849059,0.750266041,0.102970412,1.826789164,0.066008492,0.004725485,0.057508345,0.573636438,1.743264433,10.19647843,0.134084248,0.933193557,0.070733977,26.15045106,0
17,AAM,2020,11.04784025,3.346788717,1.027276743,51.17501788,4.279329608,0.581783864,0.079301496,0.920698504,0.135410062,-0.097572151,-0.056765903,-0.061655257,1.693711892,0.738919126,0.100398041,0.993416185,0.073540095,0.005761401,-0.106308794,0.988860528,1.011264958,7.021216489,0.135952104,0.927348146,0.079301496,26.07426703,0
18,AAM,2021,29.40704929,14.1056133,1.58081349,21.13774534,5.111565669,0.666925095,0.033622267,0.966377733,0.054760998,0.001681526,0.001121452,0.00116047,11.14873375,0.783231889,0.04763511,1.086229069,0.027571744,0.006050523,-0.007965811,0.669909203,1.492739606,16.3056316,0.130473741,0.820044169,0.033622267,26.02700601,0
19,AAM,2022,22.79099819,9.956303145,2.0811208,21.23671316,8.11863901,0.969934493,0.04137291,0.95862709,0.073246158,0.079712885,0.077316277,0.080653131,1.291495099,0.791291836,0.068188939,1.717161672,0.036312785,0.005060125,0.097188831,0.551413577,1.813520817,14.97720654,0.119470085,0.877694735,0.04137291,26.11041582,0
20,AAM,2023,18.99299541,5.080916509,1.094217059,36.286547,5.889533075,0.654237304,0.048020639,0.951979361,0.082789604,0.005049224,0.003303391,0.003470023,2.502062421,0.773291541,0.07968101,1.127932657,0.042977366,0.005043274,-0.035003406,0.936748901,1.067521935,9.813423641,0.111084749,0.894976953,0.048020639,26.08388794,0
21,AAM,2024,33.5784984,15.52945123,1.724459839,21.49302023,7.065191617,0.758492154,0.029716076,0.970283924,0.04870358,-0.041018677,-0.031112345,-0.032065196,12.71425116,0.793916433,0.054582155,1.243141382,0.024369338,0.005346738,-0.030043738,0.596844996,1.675476894,16.4998796,0.107356204,0.820072549,0.029716076,26.03328072,0
22,AAS,2017,89.89352864,0,0,0,0,0,0.008169417,0.991830583,0.00809971,0,0,0,89.59065438,0.726208275,0.003369255,0,0.008169417,0,0.000213226,0,0,0.054162448,0.253169309,1,0.008169417,26.45126885,0
23,AAS,2018,16.89132948,0,0,0,0,0,0.045817438,0.954182562,0.050205323,0,0,0,16.8556746,0.728100007,0.002110801,0,0.045817438,0,0.002370484,0,0,0.103602386,0.2160881,1,0.045817438,26.55129442,0
24,AAS,2019,2.654224657,0,0,0,0,0,0.341523578,0.658476422,0.574228226,0,3.01213E-06,4.5744E-06,2.652893644,0.564802449,0.00050147,0,0.341430317,0,0.001545419,0,0,0.327774729,0.092350572,0.999726927,0.341523578,26.97944834,0
25,AAS,2020,2.117869791,0,0,0,0,0,0.467959319,0.532040665,0.983351871,0,0.002601876,0.004890371,2.116295353,0.504555694,0.000743406,0,0.451354619,0,0.002672323,0,0,0.139419338,0.039152996,0.964516787,0.467959319,27.20242378,0
26,AAS,2021,3.897234259,0,0,0,0,0,0.262083553,0.737916447,0.539090163,0,0.001513304,0.002050779,3.896441425,0.740625253,0.000203429,0,0.255631815,0,0.001534563,0,0,0,0.002048066,0.975382898,0.262083553,28.12909704,0
27,AAS,2022,2.982693331,0,0,0,0,0,0.335401378,0.664598622,0.967187613,0,0.007419043,0.011163193,2.982007029,0.606207809,0.000230095,0,0.305749658,0,0.0035622,0,0,0,0.00225117,0.911593329,0.335401378,28.4669421,0
28,AAS,2023,3.528406921,0,0,0,0,0,0.32149524,0.67850476,0.498578321,0,0.014093829,0.020771895,3.52693345,0.669509219,0.000417602,0,0.264794885,0,0.001299932,0,0,0,0.009251236,0.823635476,0.32149524,28.90267933,0
29,AAV,2017,0.991741771,0.822051262,10.75162969,151.2586367,5.458342254,0.662017746,0.550665564,0.449334436,1.628585846,0.09093009,0.060197333,0.133969997,0.011151338,-0.002996572,0.762360808,1.957908395,0.362858901,0.187806663,0.232903283,0.111874686,8.938572558,2.006164563,0.121285496,0.658946055,0.550665564,26.63591925,1
30,AAV,2018,1.259483516,1.062021005,16.40945017,98.19832215,10.97594926,1.203133527,0.490684564,0.509315436,1.331769987,0.07832431,0.094234603,0.185022084,0.135777875,0.096348491,0.692145501,3.265432094,0.371308716,0.119375847,0.332324541,0.070358507,14.21292242,3.21942382,0.109615442,0.756715707,0.490684564,26.68980391,0
31,AAV,2019,2.11688607,1.966562158,22.61716486,193.3178665,13.49574337,0.93141917,0.366278433,0.633721567,0.676521033,0.056175325,0.052322775,0.082564296,0.122496446,0.305976319,0.850644062,1.720343328,0.273954817,0.092323616,0.126437642,0.049466755,20.21559719,1.687599091,0.069015774,0.747941435,0.366278433,27.10124255,0
32,AAV,2020,2.179176729,2.061121246,17.47659239,351.635072,8.696934154,0.538793401,0.354979435,0.645020565,0.668998175,0.044435897,0.023941768,0.037117837,0.019281577,0.307934431,0.912115391,1.015416011,0.261143579,0.093835856,0.057545622,0.063437461,15.76355652,0.936263581,0.061952108,0.735658332,0.354979435,27.12139428,0
33,AAV,2021,2.728809091,2.59016796,27.06155944,242.8436076,21.71119597,0.504893991,0.186696007,0.813303993,0.277841597,0.060245548,0.030417615,0.037400057,0.016578107,0.232649611,0.914756634,0.751384858,0.134572182,0.052123825,0.058959263,0.041138692,24.30801632,1.350090522,0.023255006,0.720809104,0.186696007,27.62296819,0
34,AAV,2022,3.416823028,3.372563765,51.10876297,534.7066866,23.03996966,0.459849529,0.250581626,0.749418374,0.392141498,0.007083118,0.003257169,0.004346262,0.011127897,0.491316165,0.969839366,0.71963011,0.203290087,0.047291538,0.010065095,0.021278311,46.99621059,0.627689294,0.019958773,0.81127292,0.250581626,27.70761661,0
